ego prestige,ego citations,relational prestige,relational citations,avg review score
201,250,"[99, 10, 402]","[265, 1059, 3205]",0.5185185185185185
10,1059,"[99, 201, 402]","[265, 250, 3205]",0.5185185185185185
402,3205,"[99, 10, 201]","[265, 1059, 250]",0.5185185185185185
99,129,"[101, 99, 61]","[3296, 114, 2581]",0.4444444444444444
99,114,"[101, 61, 99]","[3296, 2581, 129]",0.4444444444444444
61,2581,"[101, 99, 99]","[3296, 114, 129]",0.4444444444444444
101,3296,"[99, 61, 99]","[114, 2581, 129]",0.4444444444444444
99,5,[99],[714],0.5555555555555556
99,714,[99],[5],0.5555555555555556
99,365,"[151, 99, 99]","[3396, 3, 10126]",0.3333333333333333
99,525,[],[],0.25925925925925924
64,124,[64],[3573],0.2962962962962963
64,3573,[64],[124],0.2962962962962963
99,0,"[500, 99, 99, 99, 99]","[8, 0, 133, 199, 72]",0.5925925925925926
99,0,"[500, 99, 99, 99, 99]","[8, 0, 133, 199, 72]",0.5925925925925926
99,199,"[500, 99, 99, 99, 99]","[8, 0, 133, 0, 72]",0.5925925925925926
99,72,"[500, 99, 99, 99, 99]","[8, 0, 133, 199, 0]",0.5925925925925926
99,2028,"[301, 99, 99, 25, 31, 151, 500, 12]","[2284, 10, 443, 1252, 406, 8720, 0, 2549]",0.5555555555555555
201,792,[16],[2256],0.6296296296296297
16,2256,[201],[792],0.6296296296296297
99,13,"[99, 99]","[347, 65]",0.2962962962962963
99,65,"[99, 99]","[13, 347]",0.2962962962962963
99,11,"[401, 201]","[1157, 111]",0.5555555555555556
201,111,"[401, 99]","[1157, 11]",0.5555555555555556
401,1157,"[201, 99]","[111, 11]",0.5555555555555556
4,14,"[4, 99]","[8201, 2768]",0.7037037037037037
301,92,"[301, 5, 49, 500]","[2941, 116, 900, 0]",0.47407407407407404
301,2941,"[5, 49, 500, 301]","[116, 900, 0, 92]",0.47407407407407404
101,47,"[101, 101, 101, 500]","[10, 5138, 20, 0]",0.48148148148148145
101,10,"[101, 101, 101, 500]","[20, 5138, 47, 0]",0.48148148148148145
101,5138,"[101, 101, 101, 500]","[10, 47, 20, 0]",0.48148148148148145
4,48,"[4, 4, 4, 99, 151, 4, 99, 4]","[8201, 1539, 25, 350, 45306, 707, 2768, 328]",0.5185185185185185
4,25,"[4, 4, 4, 99, 151, 4, 99, 4]","[8201, 48, 1539, 350, 45306, 707, 2768, 328]",0.5185185185185185
4,328,"[4, 4, 4, 4, 99, 151, 4, 99]","[8201, 48, 1539, 25, 350, 45306, 707, 2768]",0.5185185185185185
99,350,"[4, 4, 4, 4, 151, 4, 99, 4]","[8201, 48, 1539, 25, 45306, 707, 2768, 328]",0.5185185185185185
401,7,[401],[8654],0.3703703703703704
401,8654,[401],[7],0.3703703703703704
27,254,"[27, 301]","[35301, 448]",0.7777777777777777
301,448,"[27, 27]","[254, 35301]",0.7777777777777777
27,35301,"[27, 301]","[254, 448]",0.7777777777777777
50,3,[50],[11740],0.48148148148148145
50,11740,[50],[3],0.48148148148148145
27,1879,"[4, 4]","[19, 11015]",0.5185185185185185
2,3197,"[101, 101, 64, 64, 101, 99, 101, 64, 101, 101]","[87, 14638, 2, 8, 463, 37, 3241, 3680, 77767, 509]",0.5555555555555555
64,8,"[64, 64, 2, 101, 101]","[2, 3680, 3197, 77767, 509]",0.4814814814814814
101,509,"[500, 101, 64, 64, 64, 2, 101]","[0, 14638, 2, 8, 3680, 3197, 77767]",0.38888888888888884
64,2,"[64, 64, 2, 101, 101]","[8, 3680, 3197, 77767, 509]",0.4814814814814814
99,349,"[401, 99, 99, 301]","[22, 21, 947, 393]",0.3333333333333333
99,947,"[401, 99, 301, 99]","[22, 21, 393, 349]",0.3333333333333333
99,21,"[401, 99, 301, 99]","[22, 947, 393, 349]",0.3333333333333333
401,22,"[99, 99, 301, 99]","[21, 947, 393, 349]",0.3333333333333333
301,393,"[401, 99, 99, 99]","[22, 21, 947, 349]",0.3333333333333333
101,8134,[101],[77767],0.6296296296296297
16,84,[16],[16841],0.2222222222222222
16,16841,[16],[84],0.2222222222222222
99,7,[301],[142],0.3333333333333333
301,142,[99],[7],0.3333333333333333
25,100,"[101, 64, 101]","[19, 1692, 5138]",0.5185185185185185
64,1692,"[101, 101, 25]","[19, 5138, 100]",0.5185185185185185
5,1502,"[2, 54, 10, 401]","[1617, 209, 148, 1146]",0.5925925925925927
2,1617,"[5, 401, 54, 5, 4, 10]","[1502, 1146, 209, 1502, 25, 148]",0.6666666666666666
99,407,"[401, 99, 201, 99]","[10454, 1896, 57651, 44]",0.6388888888888888
401,10454,"[99, 99, 201, 99]","[407, 1896, 57651, 44]",0.6388888888888888
99,1896,"[99, 401, 201, 99]","[407, 10454, 57651, 44]",0.6388888888888888
99,964,"[34, 99]","[31904, 938]",0.6666666666666666
101,12666,"[201, 34, 13, 99, 101]","[1198, 1166, 1179, 14, 67323]",0.4444444444444444
34,1166,"[201, 151, 201, 500, 13, 99, 101, 101, 99, 101, 151]","[1198, 1321, 709, 0, 1179, 14, 67323, 12666, 124, 77767, 13]",0.46913580246913583
99,14,"[201, 34, 13, 101, 101]","[1198, 1166, 1179, 67323, 12666]",0.4444444444444444
301,20,[301],[2800],0.3703703703703703
301,2800,[301],[20],0.3703703703703703
99,105,"[99, 52]","[4103, 387]",0.25925925925925924
52,387,"[99, 99]","[4103, 105]",0.25925925925925924
99,4103,"[99, 52]","[105, 387]",0.25925925925925924
99,14,"[4, 4, 401]","[18208, 224, 246]",0.3333333333333333
401,246,"[4, 99, 4]","[18208, 14, 224]",0.3333333333333333
4,224,"[4, 99, 401]","[18208, 14, 246]",0.3333333333333333
25,2165,"[25, 25, 25, 61, 25]","[90, 142, 1718, 25431, 5069]",0.6222222222222221
4,2413,"[99, 25]","[969, 50207]",0.4074074074074074
201,1323,"[151, 401, 201]","[624, 1536, 4795]",0.3333333333333333
201,4795,"[201, 151, 401]","[1323, 624, 1536]",0.3333333333333333
401,1536,"[201, 151, 201]","[1323, 624, 4795]",0.3333333333333333
101,60,"[99, 101]","[0, 7030]",0.6666666666666666
14,4708,[301],[537],0.3333333333333333
101,22403,"[101, 101, 13]","[1772, 1857, 6204]",0.2962962962962963
101,1857,"[13, 101, 101]","[6204, 1772, 22403]",0.2962962962962963
13,6204,"[101, 101, 101]","[1772, 1857, 22403]",0.2962962962962963
99,32,"[4, 25]","[8201, 50207]",0.5185185185185185
99,720,[99],[2487],0.5555555555555556
151,160,"[201, 101, 101, 151]","[15, 77767, 23, 1708]",0.5555555555555555
201,15,"[101, 101, 151, 151]","[77767, 23, 160, 1708]",0.5555555555555555
151,1708,"[201, 101, 101, 151]","[15, 77767, 23, 160]",0.5555555555555555
4,578,"[7, 201]","[1787, 33]",0.38888888888888884
401,11,[401],[902],0.3333333333333333
401,902,[401],[11],0.3333333333333333
151,58,[],[],0.3703703703703704
99,10048,"[4, 99]","[3413, 37]",0.48148148148148145
151,0,"[151, 151, 151]","[1472, 1767, 989]",0.6296296296296297
151,989,"[151, 151, 151]","[0, 1767, 1472]",0.6296296296296297
151,1767,"[151, 151, 151]","[1472, 0, 989]",0.6296296296296297
32,774,[],[],0.6296296296296297
151,1904,"[4, 4, 4, 4]","[8201, 8, 30, 3413]",0.5925925925925927
4,8,"[4, 151, 4, 4]","[8201, 1904, 30, 3413]",0.5925925925925927
99,136,"[201, 99]","[1928, 664]",0.6666666666666666
99,664,"[201, 99]","[1928, 136]",0.6666666666666666
2,1030,[2],[959],0.48148148148148145
49,1,"[49, 151, 49]","[287, 34698, 27]",0.5185185185185185
500,0,"[99, 101, 99, 85]","[430, 6710, 4021, 301]",0.4444444444444444
99,430,"[500, 99, 101, 85]","[0, 4021, 6710, 301]",0.4444444444444444
101,1082,[61],[522],0.5185185185185185
10,804,"[99, 99, 10, 101, 99, 99, 2, 27, 99, 101, 4, 99, 61, 99, 32, 27]","[90, 845, 75, 888, 971, 475, 7566, 14891, 97, 2152, 655, 28, 2277, 3575, 1026, 372]",0.619047619047619
99,475,"[10, 101, 4, 10, 32]","[75, 888, 655, 804, 1026]",0.6388888888888888
151,13,"[13, 151, 34]","[1179, 1321, 1166]",0.4444444444444444
151,1321,"[13, 151, 34]","[1179, 13, 1166]",0.4444444444444444
301,1117,"[101, 99, 101, 99, 99, 99]","[14638, 1058, 517, 60, 580, 2]",0.6296296296296297
99,2,"[101, 99, 101, 99, 301, 99]","[14638, 1058, 517, 60, 1117, 580]",0.6296296296296297
99,60,"[101, 99, 101, 301, 99, 99]","[14638, 1058, 517, 1117, 580, 2]",0.6296296296296297
27,1455,"[56, 27, 16, 99, 99, 99, 99, 99, 10, 32, 64, 27, 101, 99, 25]","[14, 616, 4008, 158, 606, 335, 57, 162, 1800, 2530, 4116, 14891, 593, 142, 4765]",0.6666666666666666
99,606,"[56, 27, 16, 27, 99, 99, 32, 64, 101, 99]","[14, 616, 4008, 1455, 335, 57, 2530, 4116, 593, 142]",0.5925925925925924
27,616,"[56, 16, 27, 99, 99, 99, 32, 64, 101, 99]","[14, 4008, 1455, 606, 335, 57, 2530, 4116, 593, 142]",0.5925925925925924
99,335,"[56, 27, 16, 27, 99, 99, 32, 64, 101, 99]","[14, 616, 4008, 1455, 606, 57, 2530, 4116, 593, 142]",0.5925925925925924
101,593,"[56, 27, 16, 27, 99, 99, 99, 32, 64, 99]","[14, 616, 4008, 1455, 606, 335, 57, 2530, 4116, 142]",0.5925925925925924
99,92,"[34, 99]","[3628, 427]",0.5555555555555555
99,427,"[34, 99]","[3628, 92]",0.5555555555555555
34,3628,"[99, 99]","[427, 92]",0.5555555555555555
99,10,"[1, 49, 99]","[378, 10673, 357]",0.5555555555555555
99,357,"[1, 49, 99]","[378, 10673, 10]",0.5555555555555555
99,968,"[99, 99, 201, 61, 5]","[323, 2199, 15456, 3636, 1311]",0.6592592592592593
99,2199,"[99, 99, 201, 61, 5]","[323, 968, 15456, 3636, 1311]",0.6592592592592593
201,15456,"[5, 99, 99]","[1311, 2199, 968]",0.6296296296296297
5,1311,"[99, 99, 99, 201, 61]","[323, 968, 2199, 15456, 3636]",0.6592592592592593
301,522,"[101, 99]","[3476, 4]",0.6666666666666669
99,4,"[301, 101]","[522, 3476]",0.6666666666666669
101,3476,"[301, 99]","[522, 4]",0.6666666666666669
84,310,"[25, 31, 15, 99, 99, 27]","[109247, 1141, 29166, 12, 9, 10456]",0.6296296296296297
99,9,"[25, 31, 15, 99, 27, 84]","[109247, 1141, 29166, 12, 10456, 310]",0.6296296296296297
99,12,"[25, 31, 15, 99, 27, 84]","[109247, 1141, 29166, 9, 10456, 310]",0.6296296296296297
99,9,[301],[668],0.4074074074074074
5,8832,"[5, 61, 99, 54, 101, 99, 83, 61]","[16, 11048, 5701, 1304, 8621, 4996, 923, 92]",0.5873015873015873
4,6,[93],[1976],0.3703703703703704
93,1976,[4],[6],0.3703703703703704
101,5151,"[27, 27]","[24616, 2821]",0.7407407407407409
27,2821,"[27, 101]","[24616, 5151]",0.7407407407407409
99,227,"[99, 40, 99]","[1706, 3822, 77]",0.6666666666666666
99,77,"[99, 40, 99]","[227, 3822, 1706]",0.6666666666666666
10,1800,"[16, 99, 27, 99, 27, 25]","[4008, 158, 1455, 162, 14891, 4765]",0.7407407407407409
99,158,"[16, 27, 99, 10, 27, 25]","[4008, 1455, 162, 1800, 14891, 4765]",0.7407407407407409
99,162,"[16, 99, 27, 10, 27, 25]","[4008, 158, 1455, 1800, 14891, 4765]",0.7407407407407409
5,134,"[5, 5, 56]","[71, 1247, 5667]",0.6296296296296297
5,71,"[5, 5, 56]","[134, 1247, 5667]",0.6296296296296297
99,1310,"[301, 99]","[4046, 244]",0.3333333333333333
301,4046,"[99, 99]","[1310, 244]",0.3333333333333333
4,2521,"[50, 4, 4, 101]","[1638, 70, 18208, 16801]",0.38888888888888884
9,0,"[301, 5]","[2406, 9457]",0.3703703703703703
5,9457,"[301, 9]","[2406, 0]",0.3703703703703703
301,2406,"[25, 9, 61, 99, 401, 5]","[583, 0, 149, 1523, 4892, 9457]",0.4296296296296296
99,128,"[151, 301, 301, 2]","[1824, 1727, 11, 10821]",0.6296296296296297
151,1824,"[301, 301, 99, 2]","[1727, 11, 128, 10821]",0.6296296296296297
301,1727,"[151, 301, 99, 2]","[1824, 11, 128, 10821]",0.6296296296296297
301,11,"[151, 301, 99, 2]","[1824, 1727, 128, 10821]",0.6296296296296297
151,20,"[301, 101]","[2, 1747]",0.3888888888888889
301,2,"[151, 101]","[20, 1747]",0.3888888888888889
101,1747,"[151, 301]","[20, 2]",0.3888888888888889
32,163,"[99, 99, 2]","[5, 1, 1687]",0.7407407407407408
99,5,"[32, 99, 2]","[163, 1, 1687]",0.7407407407407408
99,1,"[32, 99, 2]","[163, 5, 1687]",0.7407407407407408
2,1687,"[32, 99, 99]","[163, 5, 1]",0.7407407407407408
5,3372,"[402, 6, 1, 6, 99]","[10105, 33815, 180, 365, 285]",0.6296296296296297
99,285,"[402, 6, 1, 5, 6]","[10105, 33815, 180, 3372, 365]",0.6296296296296297
6,365,"[402, 6, 1, 5, 99]","[10105, 33815, 180, 3372, 285]",0.6296296296296297
4,242,"[4, 99, 101, 101, 151]","[9920, 1697, 888, 2152, 180]",0.75
151,180,"[4, 99, 101, 101, 4]","[9920, 1697, 888, 2152, 242]",0.75
101,888,"[4, 99, 101, 151, 4]","[9920, 1697, 2152, 180, 242]",0.75
5,16,"[61, 54, 101, 5]","[11048, 1304, 8621, 8832]",0.3333333333333333
54,1304,"[5, 61, 101, 5]","[16, 11048, 8621, 8832]",0.3333333333333333
101,8621,"[5, 54, 61, 5]","[16, 1304, 11048, 8832]",0.3333333333333333
151,8,[151],[8707],0.5185185185185185
61,68,[61],[638],0.40740740740740744
99,27,"[84, 25, 99, 1, 99, 301, 5]","[77, 583, 479, 2046, 365, 723, 17]",0.5204678362573102
99,365,"[99, 25, 99, 99, 101, 301]","[27, 583, 40, 479, 641, 723]",0.43209876543209874
25,583,"[84, 99, 301, 99, 1, 99, 301, 5, 61, 99, 401]","[77, 27, 2406, 479, 2046, 365, 723, 17, 149, 1523, 4892]",0.5311653116531164
99,44,"[15, 61, 61]","[118, 374, 7156]",0.7407407407407408
101,289,"[2, 25, 101, 93, 101, 25, 99, 99, 27]","[1384, 50207, 12916, 12451, 53, 1718, 1217, 89, 10456]",0.5185185185185185
101,53,"[25, 101, 25, 99, 99, 27]","[50207, 289, 1718, 1217, 89, 10456]",0.4444444444444444
99,89,"[301, 25, 101, 101, 25, 99, 27]","[486, 50207, 289, 53, 1718, 1217, 10456]",0.4074074074074074
10,3992,[10],[11860],0.5925925925925927
151,23,"[301, 201, 401, 201]","[1767, 873, 12637, 692]",0.4074074074074074
401,12637,"[301, 201, 201, 151]","[1767, 873, 692, 23]",0.4074074074074074
201,873,"[301, 401, 201, 151]","[1767, 12637, 692, 23]",0.4074074074074074
201,692,"[301, 201, 401, 151]","[1767, 873, 12637, 23]",0.4074074074074074
301,1767,"[201, 401, 201, 151]","[873, 12637, 692, 23]",0.4074074074074074
101,24,"[101, 1, 101, 101, 99, 101, 101]","[14638, 15, 1307, 2294, 52, 613, 89]",0.611111111111111
99,0,"[151, 500, 201, 99]","[557, 0, 126, 1759]",0.4074074074074074
99,1759,"[99, 151, 500, 201]","[0, 557, 0, 126]",0.4074074074074074
500,0,"[99, 151, 201, 99]","[0, 557, 126, 1759]",0.4074074074074074
151,557,"[99, 201, 500, 99]","[0, 126, 0, 1759]",0.4074074074074074
201,126,"[99, 151, 500, 99]","[0, 557, 0, 1759]",0.4074074074074074
99,0,"[99, 99, 101, 85]","[4021, 0, 6710, 301]",0.25925925925925924
101,69,"[101, 101]","[5956, 213]",0.6666666666666666
101,213,"[101, 101]","[69, 5956]",0.6666666666666666
99,30,"[4, 4, 25, 101, 151, 151, 99]","[8201, 1539, 50207, 5047, 1358, 45306, 2768]",0.6944444444444444
101,455,"[25, 25]","[10073, 3550]",0.5185185185185185
25,3550,"[25, 101, 33, 99]","[10073, 455, 1430, 46]",0.48888888888888893
1,1144,[1],[0],0.638888888888889
27,1863,"[151, 49, 49, 27]","[34698, 287, 248, 6719]",0.5185185185185185
2,131,[2],[22325],0.48148148148148145
201,212,"[101, 61, 64, 101]","[64, 4874, 123, 14638]",0.7407407407407408
101,64,"[61, 64, 101, 201]","[4874, 123, 14638, 212]",0.7407407407407408
1,378,"[1, 32, 401]","[21690, 6448, 2194]",0.7037037037037037
1,21690,"[32, 1, 401]","[6448, 378, 2194]",0.7037037037037037
99,71,"[301, 99]","[957, 1969]",0.5555555555555556
2,878,"[101, 25, 2]","[1221, 1252, 24687]",0.5277777777777778
25,1252,"[101, 99, 2, 31, 151, 500, 12, 2]","[1221, 2028, 24687, 406, 8720, 0, 2549, 878]",0.47619047619047616
2,24687,"[101, 25, 2]","[1221, 1252, 878]",0.5277777777777778
61,117,"[61, 61, 61, 61, 61, 61]","[146, 85, 248, 7623, 25431, 71]",0.6222222222222221
61,71,"[61, 61, 61, 61, 61]","[85, 248, 7623, 25431, 117]",0.6296296296296297
61,85,"[61, 61, 61, 61, 61]","[248, 7623, 25431, 71, 117]",0.6296296296296297
99,46,"[33, 25, 25]","[1430, 10073, 3550]",0.48148148148148145
33,1430,"[25, 99, 25]","[10073, 46, 3550]",0.48148148148148145
14,66,[],[],0.6296296296296297
61,135,"[99, 99, 61, 61, 61, 61]","[162, 2, 192, 68, 36773, 6134]",0.6666666666666666
99,162,"[61, 99, 61, 61, 61, 61]","[135, 2, 192, 68, 36773, 6134]",0.6666666666666666
99,2,"[99, 61, 61, 61, 61, 61]","[162, 135, 192, 68, 36773, 6134]",0.6666666666666666
61,192,"[99, 61, 99, 61, 61, 61]","[162, 135, 2, 68, 36773, 6134]",0.6666666666666666
61,36773,"[99, 61, 99, 61, 61, 61]","[162, 135, 2, 192, 68, 6134]",0.6666666666666666
61,6134,"[99, 61, 99, 61, 61, 61]","[162, 135, 2, 192, 68, 36773]",0.6666666666666666
401,793,"[99, 29, 29]","[5483, 1198, 1053]",0.5555555555555555
29,1198,"[99, 401, 29]","[5483, 793, 1053]",0.5555555555555555
29,1053,"[99, 401, 29]","[5483, 793, 1198]",0.5555555555555555
99,100,"[99, 2, 101]","[92, 478, 781]",0.6111111111111112
6,0,"[27, 27]","[2448, 258]",0.5555555555555556
27,258,"[27, 6]","[2448, 0]",0.5555555555555556
27,2448,"[6, 27]","[0, 258]",0.5555555555555556
32,643,"[99, 99, 99, 401, 99, 29, 101]","[836, 418, 149, 1041, 688, 20, 5036]",0.6666666666666666
10,4169,"[500, 99, 10, 99, 6]","[0, 10919, 75, 203, 22816]",0.5555555555555556
99,203,"[500, 99, 10, 99, 61, 27, 10, 101, 6, 25]","[0, 10919, 75, 1697, 3257, 14891, 4169, 810, 22816, 4765]",0.5851851851851853
6,22816,"[500, 99, 10, 10, 99]","[0, 10919, 75, 4169, 203]",0.5555555555555556
99,1264,"[101, 101]","[77767, 14638]",0.3703703703703704
10,66,"[61, 10, 8, 2, 10, 5, 10]","[11048, 52, 8, 2960, 921, 95, 17219]",0.5185185185185185
10,52,"[61, 10, 8, 2, 10, 10, 5, 10, 10]","[11048, 1737, 8, 2960, 57, 66, 95, 921, 17219]",0.6370370370370372
8,8,"[61, 10, 2, 10, 5, 10, 10]","[11048, 52, 2960, 66, 95, 921, 17219]",0.5185185185185185
2,2960,"[61, 10, 8, 10, 10, 5, 10]","[11048, 52, 8, 66, 921, 95, 17219]",0.5185185185185185
10,17219,"[61, 10, 10, 8, 2, 10, 10, 10, 5]","[11048, 1737, 52, 8, 2960, 57, 66, 921, 95]",0.6370370370370372
101,11,"[101, 13, 201, 101, 101, 101]","[261, 3134, 12, 201, 2631, 202]",0.48148148148148145
101,261,"[13, 201, 101, 101, 101, 101]","[3134, 12, 201, 11, 2631, 202]",0.48148148148148145
101,201,"[101, 13, 201, 101, 101, 101]","[261, 3134, 12, 11, 2631, 202]",0.48148148148148145
201,12,"[101, 13, 101, 101, 101, 101]","[261, 3134, 201, 11, 2631, 202]",0.48148148148148145
101,202,"[101, 13, 201, 101, 101, 101]","[261, 3134, 12, 201, 11, 2631]",0.48148148148148145
13,3134,"[101, 201, 101, 101, 101, 101]","[261, 12, 201, 11, 2631, 202]",0.48148148148148145
99,28,[4],[1548],0.5555555555555556
16,257,"[101, 10, 99]","[1698, 404, 2088]",0.5555555555555556
101,1698,"[99, 99, 99, 10, 16]","[63, 1, 2088, 404, 257]",0.6444444444444444
15,16,"[27, 54]","[2982, 5373]",0.6296296296296297
27,2982,"[54, 15]","[5373, 16]",0.6296296296296297
27,704,"[101, 101, 2, 61, 101, 101, 101]","[22379, 14638, 188, 139, 545, 8, 8]",0.7936507936507936
2,87,"[2, 2, 201, 2, 2, 2]","[16, 50806, 439, 746, 1, 7573]",0.6666666666666667
2,746,"[2, 2, 201, 2, 2, 2]","[16, 50806, 439, 1, 87, 7573]",0.6666666666666667
201,439,"[27, 2, 2, 2, 151, 99, 2, 2, 99, 2]","[24616, 16, 50806, 746, 8720, 3115, 1, 87, 15, 7573]",0.6388888888888888
2,16,"[2, 201, 2, 2, 2, 2]","[50806, 439, 746, 1, 87, 7573]",0.6666666666666667
2,1,"[2, 2, 201, 2, 2, 2]","[16, 50806, 439, 746, 87, 7573]",0.6666666666666667
2,7573,"[2, 2, 201, 2, 2, 2]","[16, 50806, 439, 746, 1, 87]",0.6666666666666667
1,33,"[25, 1]","[21286, 8814]",0.7037037037037037
1,8814,"[1, 25]","[33, 21286]",0.7037037037037037
25,21286,"[1, 1]","[33, 8814]",0.7037037037037037
49,220,"[4, 13]","[362, 272]",0.48148148148148145
13,272,"[4, 49]","[362, 220]",0.48148148148148145
4,362,"[49, 13]","[220, 272]",0.48148148148148145
2,12,"[2, 2, 2]","[18844, 1054, 1853]",0.5111111111111111
500,0,[101],[673],0.7037037037037037
99,13,"[99, 201]","[19, 505]",0.4074074074074074
99,1,"[2, 99, 99]","[104, 10, 2]",0.7777777777777777
25,90,"[25, 25, 61]","[2165, 142, 25431]",0.6296296296296297
500,4,"[99, 99]","[26, 0]",0.5925925925925927
99,26,"[99, 500]","[0, 4]",0.5925925925925927
99,0,"[99, 500]","[26, 4]",0.5925925925925927
500,0,"[99, 25, 31, 151, 12]","[2028, 1252, 406, 8720, 2549]",0.40740740740740744
31,406,"[99, 25, 151, 500, 12]","[2028, 1252, 8720, 0, 2549]",0.40740740740740744
4,51,"[4, 4, 4, 4]","[8201, 42, 920, 3413]",0.6666666666666666
6,304,"[6, 2]","[6176, 305]",0.7037037037037037
57,2393,"[99, 99, 201, 101, 64, 101]","[10, 61, 23, 761, 123, 3253]",0.5555555555555556
99,10,"[201, 99, 57, 101, 64, 101]","[23, 61, 2393, 761, 123, 3253]",0.5555555555555556
101,3253,"[99, 99, 57, 101, 201, 64]","[10, 61, 2393, 761, 23, 123]",0.5555555555555556
201,74,[201],[664],0.3333333333333333
101,8,[],[],0.5925925925925927
201,16,[201],[664],0.2222222222222222
4,25,"[2, 5]","[1617, 1502]",0.7407407407407408
101,1129,"[99, 101, 99, 99, 99, 101, 101, 101, 99]","[3, 450, 679, 4, 0, 6554, 23, 77767, 0]",0.6666666666666666
99,0,"[101, 99, 101, 99, 99, 101, 101, 101, 99]","[1129, 3, 450, 679, 4, 6554, 23, 77767, 0]",0.6666666666666666
99,4,"[101, 99, 101, 99, 99, 101, 101, 101, 99]","[1129, 3, 450, 679, 0, 6554, 23, 77767, 0]",0.6666666666666666
99,0,"[101, 99, 101, 99, 99, 99, 101, 101, 101]","[1129, 3, 450, 679, 4, 0, 6554, 23, 77767]",0.6666666666666666
101,23,"[101, 99, 101, 99, 99, 99, 101, 101, 99]","[1129, 3, 450, 679, 4, 0, 6554, 77767, 0]",0.6666666666666666
101,6554,"[101, 99, 101, 99, 99, 99, 101, 101, 99]","[1129, 3, 450, 679, 4, 0, 23, 77767, 0]",0.6666666666666666
101,450,"[101, 99, 99, 99, 99, 101, 101, 101, 99]","[1129, 3, 679, 4, 0, 6554, 23, 77767, 0]",0.6666666666666666
99,179,"[99, 90, 99]","[106, 1830, 44]",0.3703703703703703
90,1830,"[99, 99, 99]","[179, 106, 44]",0.3703703703703703
1,2,"[201, 1, 1]","[3673, 1144, 2]",0.7777777777777778
1,2,"[201, 1, 1]","[3673, 1144, 2]",0.7777777777777778
99,16,"[101, 12, 61, 27]","[1528, 9896, 621, 10456]",0.5555555555555556
61,621,"[101, 12, 99, 27]","[1528, 9896, 16, 10456]",0.5555555555555556
2,15432,"[101, 90, 90]","[266, 1945, 41]",0.5555555555555556
2,90,"[2, 2, 2, 16, 2, 99, 27, 2, 99, 4, 4]","[18844, 1054, 478, 3180, 0, 92, 1424, 1853, 746, 1929, 1067]",0.6666666666666666
2,0,"[2, 2, 2, 16, 99, 27, 2, 99, 4, 2, 4]","[18844, 1054, 478, 3180, 92, 1424, 1853, 746, 1929, 90, 1067]",0.6666666666666666
16,3180,"[2, 2, 2, 2, 99, 27, 2, 99, 4, 2, 4]","[18844, 1054, 478, 0, 92, 1424, 1853, 746, 1929, 90, 1067]",0.6666666666666666
4,1929,"[2, 2, 2, 16, 2, 99, 27, 2, 99, 2, 4]","[18844, 1054, 478, 3180, 0, 92, 1424, 1853, 746, 90, 1067]",0.6666666666666666
27,1424,"[2, 2, 2, 16, 2, 99, 2, 99, 4, 2, 4]","[18844, 1054, 478, 3180, 0, 92, 1853, 746, 1929, 90, 1067]",0.6666666666666666
4,1067,"[2, 2, 2, 16, 2, 99, 27, 2, 99, 4, 2]","[18844, 1054, 478, 3180, 0, 92, 1424, 1853, 746, 1929, 90]",0.6666666666666666
99,52,[],[],0.4444444444444444
99,675,"[99, 101]","[443, 8722]",0.6111111111111112
17,58,"[101, 2, 101, 5]","[5951, 4751, 2540, 493]",0.3703703703703704
5,493,"[101, 17, 2, 101]","[5951, 58, 4751, 2540]",0.3703703703703704
101,2540,"[101, 17, 2, 5]","[5951, 58, 4751, 493]",0.3703703703703704
99,439,"[61, 401, 401, 99, 29, 401, 101, 17]","[1081, 44, 256, 177, 2440, 191, 10, 6393]",0.6296296296296297
401,44,"[61, 401, 99, 29, 401, 101, 99, 17]","[1081, 256, 177, 2440, 191, 10, 439, 6393]",0.6296296296296297
401,256,"[61, 401, 99, 29, 401, 101, 99, 17]","[1081, 44, 177, 2440, 191, 10, 439, 6393]",0.6296296296296297
29,2440,"[61, 401, 401, 99, 401, 101, 99, 17]","[1081, 44, 256, 177, 191, 10, 439, 6393]",0.6296296296296297
17,6393,"[61, 401, 401, 99, 29, 401, 101, 99]","[1081, 44, 256, 177, 2440, 191, 10, 439]",0.6296296296296297
61,170,"[61, 61]","[1146, 2264]",0.5277777777777777
99,0,[4],[1574],0.2962962962962963
101,368,"[101, 101, 101]","[264, 3618, 180]",0.5555555555555556
101,264,"[101, 101, 101]","[180, 3618, 368]",0.5555555555555556
500,0,"[64, 101, 101]","[3680, 14638, 509]",0.2962962962962963
151,321,"[201, 99, 201, 99]","[20, 970, 36199, 36]",0.28148148148148155
201,20,"[99, 99, 201, 151]","[36, 970, 36199, 321]",0.28148148148148155
201,36199,"[201, 99, 99, 151]","[20, 970, 36, 321]",0.2222222222222222
99,36,"[201, 99, 201, 151]","[20, 970, 36199, 321]",0.2222222222222222
99,970,"[201, 99, 201, 151]","[20, 36, 36199, 321]",0.28148148148148155
99,65,"[False, 301, 99, 99]","[0, 1677, 225, 54]",0.6666666666666666
301,1677,"[False, 99, 99, 99]","[0, 225, 65, 54]",0.6666666666666666
99,225,"[False, 301, 99, 99]","[0, 1677, 65, 54]",0.6666666666666666
False,0,"[301, 99, 99, 99]","[1677, 225, 65, 54]",0.6666666666666666
